time,gFx,gFy,gFz,TgF
1.77757546,0.0322,-0.0181,1.0328,1.033
1.787492537,0.0377,-0.0107,1.0317,1.032
1.797603575,0.0257,-0.0133,1.0228,1.023
1.807571575,0.0387,0.0021,1.0312,1.032
1.818340883,0.0398,0.0073,1.0180,1.019
1.827542883,0.0272,-0.0017,1.0015,1.002
1.841384306,0.0271,-0.0139,0.9925,0.993
1.847536306,0.0310,-0.0104,1.0116,1.012
1.857758921,0.0319,-0.0184,1.0271,1.028
1.867779844,0.0308,-0.0213,1.0261,1.027
1.877778075,0.0281,-0.0081,1.0319,1.032
1.887698229,0.0366,-0.0088,1.0280,1.029
1.897889614,0.0396,-0.0013,1.0412,1.042
1.90763196,0.0437,0.0128,1.0423,1.043
1.917984152,0.0418,0.0066,1.0260,1.027
1.928074575,0.0291,-0.0088,1.0141,1.015
1.961321191,0.0380,-0.0055,1.0255,1.026
1.962654691,0.0399,-0.0115,1.0302,1.031
1.963413575,0.0233,-0.0248,1.0232,1.024
1.967749806,0.0346,-0.0167,1.0199,1.021
1.977969729,0.0307,-0.0123,1.0214,1.022
1.989931152,0.0275,-0.0075,1.0283,1.029
1.99805046,0.0391,0.0033,1.0239,1.025
2.007990498,0.0539,0.0145,1.0484,1.050
2.018121883,0.0533,0.0028,1.0417,1.043
2.027846921,0.0454,0.0002,1.0337,1.035
2.064781075,0.0429,-0.0079,1.0316,1.033
2.065972152,0.0366,-0.0231,1.0305,1.031
2.06675096,0.0259,-0.0203,1.0161,1.017
2.06785819,0.0319,-0.0133,1.0180,1.019
2.079080537,0.0272,-0.0131,1.0179,1.018
2.09350469,0.0366,0.0033,1.0299,1.031
2.097716652,0.0409,0.0070,1.0163,1.017
2.10794746,0.0363,0.0013,1.0180,1.019
2.117888152,0.0342,-0.0075,1.0130,1.014
2.130277037,0.0352,-0.0072,1.0211,1.022
2.158712267,0.0260,-0.0211,1.0241,1.025
2.160321113,0.0336,-0.0209,1.0302,1.031
2.161442498,0.0336,-0.0209,1.0302,1.031
2.167901613,0.0426,-0.0045,1.0512,1.052
2.178142267,0.0346,-0.0075,1.0389,1.040
2.188081613,0.0375,0.0018,1.0371,1.038
2.197792767,0.0423,0.0121,1.0363,1.037
2.207568613,0.0439,0.0084,1.0362,1.037
2.217798921,0.0392,-0.0024,1.0343,1.035
2.227658921,0.0425,-0.0040,1.0335,1.034
2.243662575,0.0336,-0.0170,1.0330,1.034
2.247725652,0.0268,-0.0215,1.0337,1.034
2.258280883,0.0311,-0.0101,1.0321,1.033
2.267803344,0.0386,-0.0087,1.0420,1.043
2.277764344,0.0331,-0.0035,1.0268,1.027
2.287814498,0.0360,0.0065,1.0200,1.021
2.298091613,0.0557,0.0195,1.0575,1.059
2.308056652,0.0849,0.0193,1.1045,1.108
2.318220306,0.0331,-0.0039,1.0175,1.018
2.329582267,0.0169,-0.0204,0.9882,0.989
2.36920296,0.0100,-0.0352,0.9957,0.996
2.371080998,0.0122,-0.0241,0.9952,0.996
2.371844267,0.0228,-0.0183,1.0106,1.011
2.372509113,0.0167,-0.0150,1.0019,1.002
2.37801119,0.0277,0.0024,1.0065,1.007
2.388186959,0.0380,0.0073,1.0203,1.021
2.397977344,0.0442,0.0010,1.0318,1.033
2.407921652,0.0467,0.0001,1.0399,1.041
2.418223113,0.0385,-0.0084,1.0345,1.035
2.431688575,0.0344,-0.0213,1.0307,1.032
2.47122369,0.0365,-0.0150,1.0263,1.027
2.472422344,0.0360,-0.0078,1.0272,1.028
2.473235921,0.0366,-0.0092,1.0245,1.025
2.473899306,0.0413,0.0043,1.0344,1.035
2.477722421,0.0450,0.0128,1.0340,1.035
2.488432998,0.0393,-0.0017,1.0210,1.022
2.498234421,0.0360,-0.0042,1.0283,1.029
2.507841882,0.0324,-0.0083,1.0268,1.027
2.517965998,0.0297,-0.0220,1.0251,1.026
2.527901306,0.0260,-0.0195,1.0230,1.024
2.55929169,0.0374,-0.0067,1.0335,1.034
2.560632767,0.0377,-0.0079,1.0315,1.032
2.561662459,0.0316,-0.0007,1.0192,1.020
2.567968767,0.0369,0.0065,1.0163,1.017
2.577834729,0.0370,0.0021,1.0195,1.020
2.589138805,0.0410,-0.0018,1.0299,1.031
2.597688844,0.0409,-0.0024,1.0317,1.033
2.607680652,0.0261,-0.0217,1.0146,1.015
2.617856113,0.0253,-0.0235,1.0126,1.013
2.627961536,0.0282,-0.0097,1.0202,1.021
2.658453267,0.0225,-0.0136,1.0177,1.018
2.659636267,0.0203,-0.0103,1.0018,1.002
2.660545421,0.0343,0.0066,1.0201,1.021
2.667747344,0.0475,0.0066,1.0310,1.032
2.677854113,0.0462,-0.0026,1.0350,1.036
2.689584229,0.0528,0.0027,1.0427,1.044
2.69801269,0.0426,-0.0154,1.0300,1.031
2.708098613,0.0349,-0.0219,1.0274,1.028
2.718102498,0.0359,-0.0128,1.0194,1.020
2.733146805,0.0302,-0.0123,1.0177,1.018
2.738992613,0.0331,-0.0050,1.0274,1.028
2.763981075,0.0391,0.0064,1.0221,1.023
2.765195959,0.0413,0.0093,1.0276,1.028
2.767982998,0.0511,0.0006,1.0401,1.041
2.778613575,0.0467,-0.0009,1.0431,1.044
2.792709613,0.0324,-0.0173,1.0172,1.018
2.797798767,0.0319,-0.0272,1.0244,1.025
2.807689421,0.0287,-0.0144,1.0266,1.027
2.817707767,0.0355,-0.0112,1.0263,1.027
2.828136421,0.0355,-0.0112,1.0263,1.027
2.839397075,0.0248,-0.0136,1.0156,1.016
2.847910421,0.0349,0.0056,1.0288,1.029
2.87454819,0.0371,0.0067,1.0221,1.023
2.875756805,0.0380,-0.0026,1.0224,1.023
2.878091075,0.0313,-0.0072,1.0072,1.008
2.889959151,0.0286,-0.0126,1.0184,1.019
2.897929921,0.0291,-0.0209,1.0315,1.032
2.907932651,0.0324,-0.0181,1.0236,1.024
2.918170882,0.0275,-0.0125,1.0233,1.024
2.931702767,0.0388,-0.0079,1.0377,1.038
2.938040267,0.0456,0.0078,1.0416,1.043
2.972650267,0.0426,0.0112,1.0283,1.029
2.973863882,0.0423,-0.0026,1.0161,1.017
2.974609921,0.0347,-0.0066,1.0210,1.022
2.977928113,0.0249,-0.0106,1.0097,1.010
2.987932382,0.0204,-0.0286,1.0041,1.005
2.997860651,0.0255,-0.0191,1.0224,1.023
3.013940305,0.0288,-0.0105,1.0254,1.026
3.018144113,0.0244,-0.0142,1.0205,1.021
3.059263344,0.0320,0.0031,1.0262,1.027
3.060765921,0.0386,0.0087,1.0229,1.024
3.061740613,0.0363,0.0023,1.0180,1.019
3.062574497,0.0381,-0.0029,1.0251,1.026
3.068003421,0.0435,-0.0018,1.0422,1.043
3.077987497,0.0374,-0.0156,1.0416,1.042
